nret,dark_rate_hz,background_rate_hz,gate_time_s,visibility,samples,max_classical_fi,phase_at_max_fi_rad,crlb_phase_variance,noise_counts_per_gate,sbr
3.593813663804626,100.0,10.0,1e-06,0.5,1,0.9629243196421802,1.8409732950036188,1.038503213182524,0.00010999999999999999,32671.033307314785
3.593813663804626,100.0,100.0,1e-06,0.5,1,0.9628964931737998,1.8409732950036188,1.0385332245877263,0.00019999999999999998,17969.068319023132
3.593813663804626,100.0,1000.0,1e-06,0.5,1,0.9626183169182868,1.8409732950036188,1.0388333386397492,0.0010999999999999998,3267.1033307314783
3.593813663804626,1000.0,0.0,1e-06,0.5,1,0.9626492174537007,1.8409732950036188,1.0387999926339686,0.001,3593.813663804626
3.593813663804626,1000.0,10.0,1e-06,0.5,1,0.9626461273108865,1.8409732950036188,1.0388033272345467,0.00101,3558.2313503016094
3.593813663804626,1000.0,100.0,1e-06,0.5,1,0.9626183169182868,1.8409732950036188,1.0388333386397492,0.0010999999999999998,3267.1033307314783
3.593813663804626,1000.0,1000.0,1e-06,0.5,1,0.9623403013439704,1.8409732950036188,1.0391334526917717,0.002,1796.906831902313
10.0,1.0,0.0,1e-06,0.5,1,2.6794884512996435,1.8409732950036188,0.37320556448562625,1e-06,10000000.0
10.0,1.0,10.0,1e-06,0.5,1,2.6794853591663266,1.8409732950036188,0.3732059951658523,1.1e-05,909090.9090909091
10.0,1.0,100.0,1e-06,0.5,1,2.6794575302876225,1.8409732950036188,0.3732098712878858,0.000101,99009.900990099
10.0,1.0,1000.0,1e-06,0.5,1,2.679179273290367,1.8409732950036188,0.37324863250822143,0.001001,9990.00999000999
10.0,10.0,0.0,1e-06,0.5,1,2.6794856683793373,1.8409732950036188,0.37320595209782964,9.999999999999999e-06,1000000.0000000001
10.0,10.0,10.0,1e-06,0.5,1,2.6794825762524437,1.8409732950036188,0.37320638277805557,1.9999999999999998e-05,500000.00000000006
10.0,10.0,100.0,1e-06,0.5,1,2.6794547474315453,1.8409732950036188,0.37321025890008913,0.00010999999999999999,90909.09090909091
10.0,10.0,1000.0,1e-06,0.5,1,2.6791764910122486,1.8409732950036188,0.3732490201204248,0.00101,9900.990099009901
10.0,25.0,0.0,1e-06,0.5,1,2.6794810301916727,1.8409732950036188,0.3732065981181686,2.4999999999999998e-05,400000.00000000006
10.0,25.0,10.0,1e-06,0.5,1,2.679477938075484,1.8409732950036188,0.37320702879839457,3.5e-05,285714.28571428574
10.0,25.0,100.0,1e-06,0.5,1,2.6794501093509284,1.8409732950036188,0.3732109049204281,0.000125,80000.0
10.0,25.0,1000.0,1e-06,0.5,1,2.6791718538948937,1.8409732950036188,0.3732496661407637,0.0010249999999999999,9756.097560975611
